id,name,category,standard,coverage,scope,base_product,machining,n_tabs,tabs,current_tabs,n_live_links,vendors,text_only_sources,aliases,notes,qty:voron-2.4,qty:voron-trident,qty:voron-0.2,qty:voron-switchwire,qty:voron-cascade,qty:stealthburner,qty:optional-parts,qty:tools,qty:afterburner,qty:voron-m4,qty:mobius-3.1,qty:jetpack,qty:voron-0,qty:voron-0.1,qty:voron-1.8,qty:voron-1.6.2,qty:voron-2.2,link_1,link_2,link_3,link_4,link_5,link_6,link_7,link_8,link_9,link_10,link_11,link_1_url,link_2_url,link_3_url,link_4_url,link_5_url,link_6_url,link_7_url,link_8_url,link_9_url,link_10_url,link_11_url
bowden.bowden-clip,Bowden Clip,Bowden,,all_live,,,,2,voron-m4 mobius-3.1,,1,AliExpress,,Bowden Clips,Worth getting spares,,,,,,,,,,1,2,,,,,,,TriangleLab,,,,,,,,,,,https://www.aliexpress.com/item/32892392365.html,,,,,,,,,,
bowden.bowden-fitting,Bowden Fitting,Bowden,,all_live,,,,6,voron-0.2 voron-m4 mobius-3.1 jetpack voron-0 voron-0.1,voron-0.2,2,AliExpress,,,"bowden only, one for the hotend one for the Pocketwatch / This is the only known source of these, buy some spares / on for the hotend one for the Pocketwatch",,,2,,,,,,,1,2,1,2,2,,,,TriangleLab,TriangleLab,,,,,,,,,,https://s.click.aliexpress.com/e/_dZNWAU4,https://www.aliexpress.com/item/32934148155.html,,,,,,,,,
bowden.bowden-tube-4mm-od-3mm-id,Bowden Tube 4mm OD/3mm ID,Bowden,,none_live,,,,1,jetpack,,0,,,,,,,,,,,,,,,,3m,,,,,,,,,,,,,,,,,,,,,,,,,,,
bowden.bowden-tubing-4mmod-2mmid-1-meter,Bowden Tubing 4mmOD 2mmID (1 meter),Bowden,,partial,,,,3,voron-0.2 voron-0 voron-0.1,voron-0.2,2,AliExpress,,,"if you are going direct drive using 4mmODx3mmID ptfe tubing can reduce drag on the filament, if you are going bowden use 2mm ID tubing",,,1,,,,,,,,,,1,1,,,,Aliexpress,Aliexpress (4mmx3mm),,,,,,,,,,https://s.click.aliexpress.com/e/_dY9tW7w,https://s.click.aliexpress.com/e/_DlmJrQ7,,,,,,,,,
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.v2,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),Buildplate,,all_live,v2,,,2,voron-2.4 voron-2.2,voron-2.4,1,clever3d.de,,,"Thicker material is fine too, just keep in mind your heat up times will greatly increase",1@250; 1@300; 1@350,,,,,,,,,,,,,,,,1@250; 1@300; 1@350,Clever3D.de,,,,,,,,,,,https://clever3d.de/epages/7a4290fc-7c7f-46cc-9b99-eadef22228e2.sf/en_US?ObjectPath=%2FShops%2F7a4290fc-7c7f-46cc-9b99-eadef22228e2%2FProducts%2FAluGuss8mm,,,,,,,,,,
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.voron-trident,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),Buildplate,,all_live,voron-trident,,,1,voron-trident,voron-trident,2,mandalaroseworks.com | clever3d.de,,,"Thicker material is fine too, just keep in mind your heat up times will greatly increase",,"10x10""@250; 12x12""@300; 14x14""@350",,,,,,,,,,,,,,,,Mandala Rose Works,Clever3D.de,,,,,,,,,,https://www.mandalaroseworks.com/shop/voron,https://clever3d.de/epages/7a4290fc-7c7f-46cc-9b99-eadef22228e2.sf/en_US?ObjectPath=%2FShops%2F7a4290fc-7c7f-46cc-9b99-eadef22228e2%2FProducts%2FAluGuss8mm,,,,,,,,,
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.v1,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),Buildplate,,all_live,v1,,,2,voron-1.8 voron-1.6.2,,1,clever3d.de,,,"Thicker material is fine too, just keep in mind your heat up times will greatly increase",,,,,,,,,,,,,,,"10x10""@250; 12x12""@300",1,,Clever3D.de,,,,,,,,,,,https://clever3d.de/epages/7a4290fc-7c7f-46cc-9b99-eadef22228e2.sf/en_US?ObjectPath=%2FShops%2F7a4290fc-7c7f-46cc-9b99-eadef22228e2%2FProducts%2FAluGuss8mm,,,,,,,,,,
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-120x120mm-4-75inx4-75in-1-4in-or-6mm-depending-on-whats-available-in-your-country.v0,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) 120x120mm (4.75inx4.75in) (1/4in or 6mm depending on whats available in your country),Buildplate,,all_live,v0,,,3,voron-0.2 voron-0 voron-0.1,voron-0.2,1,clever3d.de,Local material supplier,,"Thicker material is fine too, just keep in mind your heat up times will greatly increase and youll lose z heght for however much thicker you go",,,1,,,,,,,,,,1,1,,,,Clever3D.de,,,,,,,,,,,https://clever3d.de/epages/7a4290fc-7c7f-46cc-9b99-eadef22228e2.sf/en_US?ObjectPath=%2FShops%2F7a4290fc-7c7f-46cc-9b99-eadef22228e2%2FProducts%2FAluGuss8mm,,,,,,,,,,
buildplate.high-temperature-magnet,High Temperature Magnet,Buildplate,,partial,,,,1,optional-parts,optional-parts,1,McMaster-Carr,,,,,,,,,,optional,,,,,,,,,,,McMaster-Carr,,,,,,,,,,,https://www.mcmaster.com/7301T25/,,,,,,,,,,
buildplate.magnetic-sheet-pei-optional,Magnetic Sheet + PEI (optional),Buildplate,,all_live,,,,1,voron-2.4,voron-2.4,1,AliExpress,,,,1,,,,,,,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/2251832800625551.html,,,,,,,,,,
