coverage,id,name,category,standard,n_links,n_live,n_dead,n_unresolved,live_vendors,dead_vendors,projects,project_status,tabs,text_only_sources,dead_links,live_links
no_links,buildplate.spring-steel-sheet-for-prusa-mk52-bed-included-with-tl-heated-bed,Spring Steel Sheet for Prusa MK52 Bed (included with TL Heated Bed),Buildplate,,0,0,0,0,,,voron-switchwire,current,1,X,,
no_links,cables.24awg-ptfe-cable-30ft-total,24AWG PTFE Cable (30ft total),Cables,,0,0,0,0,,,stealthburner,current,1,,,
no_links,cables.30awg-ptfe-cable-3ft-total,30AWG PTFE Cable (3ft total),Cables,,0,0,0,0,,,stealthburner,current,1,,,
no_links,cables.dupont-2-pin-connector,Dupont 2 Pin Connector,Cables,,0,0,0,0,,,voron-trident voron-1.8,current legacy,2,,,
no_links,cables.igus-e2-100-10-12pz-chain-ends,IGUS E2-100-10-12PZ Chain Ends,Cables,,0,0,0,0,,,voron-2.4,current,1,,,
no_links,cables.igus-e2-15-10-028-0-chain,IGUS E2-15-10-028-0 Chain,Cables,,0,0,0,0,,,voron-2.4,current,1,,,
no_links,cables.igus-e2-150-10-12pz-chain-ends,IGUS E2-150-10-12PZ Chain Ends,Cables,,0,0,0,0,,,voron-2.4,current,1,,,
no_links,cables.igus-e2i-10-10-018-0-chain,IGUS E2i-10-10-018-0 Chain,Cables,,0,0,0,0,,,voron-2.4,current,1,,,
no_links,controller.usb-cable-a-male-b-male,USB Cable A-male B-male,Controller,,0,0,0,0,,,voron-2.4 voron-1.6.2 voron-2.2,current legacy,3,,,
no_links,electronics.50x50x15-centrifugal-fan-24v,50x50x15 Centrifugal Fan (24V),Electronics,,0,0,0,0,,,voron-trident stealthburner,current,2,,,
no_links,electronics.harness-for-adxl-sensor-module,Harness for ADXL Sensor Module,Electronics,,0,0,0,0,,,stealthburner,current,1,,,
no_links,electronics.mean-well-lrs-350-24-psu,Mean Well LRS-350-24 PSU,Electronics,,0,0,0,0,,,voron-switchwire,current,1,X,,
no_links,electronics.mosfet-trigger-switch-drive-module,MOSFET Trigger Switch Drive Module,Electronics,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,electronics.neopixel-rgbw-mini-button-pcb,NeoPixel RGBW Mini Button PCB,Electronics,,0,0,0,0,,,stealthburner,current,1,,,
no_links,electronics.usb-cable-a-male-mini-b-male-1-included-with-skr-mini,USB Cable A-male Mini B-male (1 Included with SKR Mini),Electronics,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,fasteners.m3-t-nut-for-3030-extrusions,M3 T-nut (For 3030 extrusions),Fasteners,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,fasteners.m4-knurled-nut,M4 knurled nut,Fasteners,DIN 466-B,0,0,0,0,,,voron-2.4,current,1,,,
no_links,fasteners.m5-t-nut-for-3030-extrusions,M5 T-nut (For 3030 extrusions),Fasteners,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,frame.hfsb5-2020-200-tpw,HFSB5-2020-200-TPW,Frame,,0,0,0,0,,,voron-1.8,legacy,1,,,
no_links,frame.hfsb5-2020-420,HFSB5-2020-420,Frame,,0,0,0,0,,,voron-1.8,legacy,1,,,
no_links,frame.hfsb5-2020-420-ah45-bh375,HFSB5-2020-420-AH45-BH375,Frame,,0,0,0,0,,,voron-1.8,legacy,1,,,
no_links,frame.makerbeam-xl-15x15-100mm,Makerbeam XL 15x15 100mm,Frame,,0,0,0,0,,,voron-0.2 voron-0 voron-0.1,current legacy,3,,,
no_links,frame.makerbeam-xl-15x15-80-100mm,Makerbeam XL 15x15 80-100mm,Frame,,0,0,0,0,,,voron-0.2,current,1,,,
no_links,frame.misumi-2020-x-340mm-hfsb5-2020-340-ah15-bh325,Misumi 2020 x 340mm - HFSB5-2020-340-AH15-BH325,Frame,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,frame.misumi-3030-x-300mm-hfsb6-3030-300-tpw,Misumi 3030 x 300mm - HFSB6-3030-300-TPW,Frame,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,frame.misumi-3030-x-360mm-hfsb6-3030-360-lch-rch,Misumi 3030 x 360mm - HFSB6-3030-360-LCH-RCH,Frame,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,frame.misumi-3030-x-400mm-hfsb6-3030-400-tpw,Misumi 3030 x 400mm - HFSB6-3030-400-TPW,Frame,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,frame.misumi-3060-x-520mm-hfsb6-3060-520-ah105-bh415-av180,Misumi 3060 x 520mm - HFSB6-3060-520-AH105-BH415-AV180,Frame,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,hardware.hotend-mounting-screws-m2-5-m3,Hotend Mounting Screws (M2.5/M3),Hardware,,0,0,0,0,,,stealthburner,current,1,,,
no_links,hardware.m3x10-shcs,M3x10 SHCS,Hardware,,0,0,0,0,,,stealthburner,current,1,,,
no_links,hardware.m3x10mm-bhcs,M3x10mm BHCS,Hardware,ISO 7380-1,0,0,0,0,,,voron-0,legacy,1,,,
no_links,hardware.m3x12mm-bhcs,M3x12mm BHCS,Hardware,ISO 7380-1,0,0,0,0,,,voron-0,legacy,1,,,
no_links,hardware.m3x30mm-bhcs,M3x30mm BHCS,Hardware,ISO 7380-1,0,0,0,0,,,voron-0,legacy,1,,,
no_links,hardware.m3x6mm-bhcs,M3x6mm BHCS,Hardware,ISO 7380-1,0,0,0,0,,,voron-0,legacy,1,,,
no_links,hardware.m3x8-fhcs,M3x8 FHCS,Hardware,ISO 10642,0,0,0,0,,,voron-0.2 voron-0.1,current legacy,2,,,
no_links,hotend.e3d-v6-hotend-bowden,E3D V6 Hotend Bowden,Hotend,,0,0,0,0,,,afterburner,legacy,1,,,
no_links,misc.medium-strength-thread-locker,medium strength thread locker,Misc,,0,0,0,0,,,voron-0.2,current,1,,,
no_links,motion.gt2-20t-6mm-wide-pulley-5mm-bore-no-set-screw-hub,GT2 20T (6mm wide) Pulley (5mm bore) - No Set Screw Hub,Motion,,0,0,0,0,,,voron-2.2,legacy,1,Build from 2x POWGE 20t 6mm Pulley,,
no_links,motion.gt2-open-belt-ll-2gt-6-6mm-wide-800mm,GT2 Open Belt LL-2GT-6 (6mm wide) - 800mm,Motion,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,panels.side-front-top-acrylic-panels.voron-switchwire,Side/Front/Top Acrylic Panels,Panels,,0,0,0,0,,,voron-switchwire,current,1,,,
no_links,tools.nlgi1-or-2-grease-eg-mobilux-ep1-ep2-polyrex-222-shc-220,"NLGI1 or 2 Grease eg:Mobilux EP1/EP2, Polyrex 222, SHC 220",Tools,,0,0,0,0,,,tools,current,1,,,
no_links,misc.the-2-x-guides-should-have-the-rest-of-the-required-parts,The 2.x guides should have the rest of the required parts,,,0,0,0,0,,,voron-1.6.2,legacy,1,,,
