coverage,id,name,category,standard,n_links,n_live,n_dead,n_unresolved,live_vendors,dead_vendors,projects,project_status,tabs,text_only_sources,dead_links,live_links
none_live,bowden.bowden-tube-4mm-od-3mm-id,Bowden Tube 4mm OD/3mm ID,Bowden,,1,0,1,0,,AliExpress,jetpack,legacy,1,,https://www.aliexpress.com/item/32433845259.html,
none_live,cables.16awg-silicone-cable-10ft-total,16AWG Silicone Cable (10ft total),Cables,,2,0,2,0,,AliExpress | Amazon,voron-switchwire,current,1,,https://www.aliexpress.com/item/32793333567.html | https://www.amazon.com/dp/B01J3LP1HS,
none_live,cables.18awg-ptfe-wire-wire-10ft-total,18AWG PTFE wire wire (10ft total),Cables,,1,0,1,0,,AliExpress,voron-trident,current,1,,https://www.aliexpress.com/item/4000703204793.html,
none_live,cables.20awg-ptfe-wire-10ft-total,20AWG PTFE wire (10ft total),Cables,,1,0,1,0,,AliExpress,voron-trident,current,1,,https://www.aliexpress.com/item/4000703227416.html,
none_live,cables.20awg-silicone-cable-25ft-total,20AWG Silicone Cable (25ft total),Cables,,1,0,1,0,,AliExpress,voron-1.8,legacy,1,,https://www.aliexpress.com/item/32955538744.html,
none_live,cables.20awg-silicone-cable-50ft-total,20AWG Silicone Cable (50ft total),Cables,,1,0,1,0,,AliExpress,voron-2.2,legacy,1,,https://www.aliexpress.com/item/32955538744.html,
none_live,cables.22awg-ptfe-wire-100ft-total,22AWG PTFE wire (100ft total),Cables,,1,0,1,0,,AliExpress,voron-trident,current,1,,https://www.aliexpress.com/item/4000703245035.html,
none_live,cables.22awg-ptfe-wire-250ft-total,22AWG PTFE wire (250ft total),Cables,,1,0,1,0,,AliExpress,voron-2.4,current,1,,https://www.aliexpress.com/item/4000703245035.html,
none_live,cables.microfit-connector-plug-8-position-43025-0800,MicroFit Connector Plug 8 Position (43025-0800),Cables,,1,0,1,0,,arrow.com,optional-parts,current,1,,https://www.arrow.com/en/products/43025-0800/molex,
none_live,cables.ptfe-wire-20gauge-10ft,PTFE Wire 20gauge 10ft,Cables,,1,0,1,0,,AliExpress,voron-0.2 voron-0.1,current legacy,2,,https://s.click.aliexpress.com/e/_AfncFO,
none_live,cables.ptfe-wire-22gauge-100ft-get-5m-of-6-colors-for-30m-total-tin-plated,"PTFE Wire 22gauge 100ft (get 5m of 6 colors for 30m total, tin plated)",Cables,,1,0,1,0,,AliExpress,voron-0.2 voron-0.1,current legacy,2,,https://s.click.aliexpress.com/e/_AfncFO,
none_live,cables.thermal-fuse-125c,Thermal Fuse 125C,Cables,,1,0,1,0,,AliExpress,voron-0 voron-0.1,legacy,2,,https://s.click.aliexpress.com/e/_dU6uGpq,
none_live,cables.thermal-fuse-150c,Thermal Fuse 150C,Cables,,1,0,1,0,,AliExpress,voron-0.2,current,1,,https://s.click.aliexpress.com/e/_dU6uGpq,
none_live,controller.a4988-stepper-motor-driver,A4988 Stepper Motor Driver,Controller,,2,0,2,0,,AliExpress | Zyltech,voron-1.6.2 voron-2.2,legacy,2,,https://www.zyltech.com/ramps-1-4-3d-printer-controller-mega-2560-atmega16u2-atmega2560-5x-a4988-2a-drivers | https://www.aliexpress.com/item/32848965946.html,
none_live,controller.arduino-mega-2560,Arduino Mega 2560,Controller,,2,0,2,0,,AliExpress | Zyltech,voron-1.6.2 voron-2.2,legacy,2,,https://www.zyltech.com/ramps-1-4-3d-printer-controller-mega-2560-atmega16u2-atmega2560-5x-a4988-2a-drivers | https://www.aliexpress.com/item/32913167217.html,
none_live,controller.duet-maestro,Duet Maestro,Controller,,2,0,2,0,,AliExpress | Filastruder,optional-parts,current,1,,https://www.aliexpress.com/item/32947221310.html | https://www.filastruder.com/collections/electronics/products/duet-2-maestro,
none_live,controller.longer-display-cables-60cm,Longer Display Cables (60cm),Controller,,1,0,1,0,,AliExpress,voron-1.8,legacy,1,,https://www.aliexpress.com/item/32883311114.html,
none_live,controller.micro-usb-power-cable,Micro USB Power Cable,Controller,,1,0,1,0,,Amazon,voron-1.6.2 voron-2.2,legacy,2,use a spare from around the house,https://www.amazon.com/dp/B012VWH6PQ,
none_live,controller.ramps-1-4,RAMPs 1.4,Controller,,1,0,1,0,,Zyltech,voron-1.6.2 voron-2.2,legacy,2,,https://www.zyltech.com/ramps-1-4-3d-printer-controller-mega-2560-atmega16u2-atmega2560-5x-a4988-2a-drivers,
none_live,electronics.120x120x15-fan-12v-rear-can-use-120x120x25-fan,120x120x15 Fan (12V) (Rear can use 120x120x25 Fan),Electronics,,1,0,1,0,,Amazon,voron-1.6.2 voron-2.2,legacy,2,,https://smile.amazon.com/Silverstone-Professional-Fine-Tuned-Performance-FW121/dp/B00NOTVCUQ,
none_live,electronics.3m-5952-vhb-tape-20mm-or-so-is-good,3M 5952 VHB tape (20mm or so is good),Electronics,,1,0,1,0,,AliExpress,voron-0.2,current,1,,https://s.click.aliexpress.com/e/_DknVHRP,
none_live,electronics.bigtreetech-skr-mini-e3-v1-2-or-v2,Bigtreetech SKR mini E3 (v1.2 or v2),Electronics,,2,0,2,0,,AliExpress,voron-0,legacy,1,,https://s.click.aliexpress.com/e/_d6jtsAC | https://www.aliexpress.com/item/33042554065.html,
none_live,electronics.nylon-pcb-standoff-kit-m3,Nylon PCB Standoff Kit (M3),Electronics,,1,0,1,0,,AliExpress,voron-0,legacy,1,print them,https://s.click.aliexpress.com/e/_dVf8kck,
none_live,electronics.pl-08n-inductive-probe,PL-08N Inductive Probe,Electronics,,1,0,1,0,,AliExpress,voron-1.8 voron-1.6.2 voron-2.2,legacy,3,,https://www.aliexpress.com/item/32803870919.html,
none_live,electronics.skr-mini-e3-v2,SKR Mini E3 V2,Electronics,,1,0,1,0,,AliExpress,voron-switchwire,current,1,X (Einsy Rambo),https://s.click.aliexpress.com/e/_d6DRiEC,
none_live,electronics.thermal-fuse,Thermal Fuse,Electronics,,1,0,1,0,,AliExpress,voron-2.4 voron-trident voron-1.8 voron-1.6.2 voron-2.2,current legacy,5,,https://www.aliexpress.com/item/32885492280.html,
none_live,electronics.vhb-tape-20mm-or-so-is-good,VHB tape (20mm or so is good),Electronics,,2,0,2,0,,AliExpress,voron-0 voron-0.1,legacy,2,,https://s.click.aliexpress.com/e/_9viGyF | https://www.aliexpress.com/item/4000017095580.html,
none_live,frame.openbuilds-angle-corner-connector,OpenBuilds Angle Corner Connector,Frame,,1,0,1,0,,openbuildspartstore.com,voron-2.4 voron-2.2,current legacy,2,,https://openbuildspartstore.com/black-angle-corner-connector,
none_live,hotend.trianglelab-dragon-hotend,TriangleLab Dragon Hotend,Hotend,,1,0,1,0,,AliExpress,optional-parts afterburner voron-0 voron-0.1,current legacy,4,,https://www.aliexpress.com/item/1005002477263672.html,
none_live,kits.voron-v0-1-kit-fysetc,Voron V0.1 Kit - FYSETC,Kits,,1,0,1,0,,AliExpress,voron-0.2 voron-0.1,current legacy,2,,https://s.click.aliexpress.com/e/_ADOH0H,
none_live,kits.voron-v0-1-kit-siboor,Voron V0.1 Kit - SIBOOR,Kits,,1,0,1,0,,AliExpress,voron-0.2,current,1,,https://s.click.aliexpress.com/e/_Dl1IOoF,
none_live,misc.3m-5952-vhb,3m 5952 VHB,Misc,,1,0,1,0,,AliExpress,voron-0.2 voron-0.1,current legacy,2,,https://s.click.aliexpress.com/e/_A5re2G,
none_live,misc.6mm-x-3mm-round-neodymium-magnets,6mm x 3mm Round Neodymium Magnets,Misc,,5,0,5,0,,AliExpress,voron-2.4 voron-trident voron-0.2 voron-switchwire voron-0 voron-0.1,current legacy,6,,https://www.aliexpress.com/item/1005001418808468.html | https://s.click.aliexpress.com/e/_A7td4j | https://www.aliexpress.com/item/1005001428057323.html | https://www.aliexpress.com/item/32951137017.html | https://s.click.aliexpress.com/e/_AWamq8,
none_live,misc.6x3mm-magnet,6x3mm Magnet,Misc,,2,0,2,0,,AliExpress,stealthburner,current,1,,https://www.aliexpress.com/item/1005001418808468.html | https://www.aliexpress.com/item/32951137017.html,
none_live,misc.bowden-tube-4mm-od-2mm-id,"Bowden Tube (4mm OD, 2mm ID)",Misc,,3,0,3,0,,AliExpress,voron-switchwire jetpack,current legacy,2,,https://www.aliexpress.com/item/32433845259.html | https://s.click.aliexpress.com/e/5OVtqbtq | https://www.aliexpress.com/item/32811240720.html,
none_live,misc.bowden-tube-4mm-od-3mm-id-optional-for-reverse-bowden,"Bowden Tube (4mm OD, 3mm ID) optional for reverse bowden",Misc,,2,0,2,0,,AliExpress,voron-switchwire,current,1,,https://s.click.aliexpress.com/e/5OVtqbtq | https://www.aliexpress.com/item/32811240720.html,
none_live,misc.metal-x-carriage-optional,Metal X Carriage (OPTIONAL),Misc,,1,0,1,0,,AliExpress,voron-0.1,legacy,1,,https://s.click.aliexpress.com/e/_9ih40f,
none_live,misc.mosquito-hotend-sock,Mosquito Hotend Sock,Misc,,1,0,1,0,,AliExpress,optional-parts,current,1,,https://www.aliexpress.com/item/4000172934426.html,
none_live,misc.nozzle-scrubber-brush,Nozzle Scrubber Brush,Misc,,2,0,2,0,,AliExpress | Amazon,optional-parts,current,1,,https://www.aliexpress.com/item/32970253811.html | https://www.amazon.com/dp/B07BBLCFPF,
none_live,motion.110-gt2-belt-loop,110 gt2 belt loop,Motion,,1,0,1,0,,AliExpress,voron-0,legacy,1,included in kit,https://s.click.aliexpress.com/e/_dUvssaY,
none_live,motion.gt2-belt-loop-6mm-wide-110mm,GT2 Belt Loop (6mm wide) - 110mm,Motion,,2,0,2,0,,AliExpress | SDP/SI,voron-2.2,legacy,1,,https://www.aliexpress.com/item/4000033992832.html | https://shop.sdp-si.com/catalog/product?id=A_6R51M055060,
none_live,motion.gt2-open-belt-ll-2gt-6-9mm-wide-length-dependant-on-config,GT2 Open Belt LL-2GT-6 (9mm wide) - Length Dependant on Config,Motion,,1,0,1,0,,SDP/SI,voron-2.2,legacy,1,,https://shop.sdp-si.com/catalog/product?id=A_6R51MC090,
none_live,motion.gt2-open-belt-ll-2gt-9-9mm-wide-length-dependant-on-config,GT2 Open Belt LL-2GT-9 (9mm wide) - Length Dependant on Config,Motion,,1,0,1,0,,SDP/SI,voron-2.4,current,1,,https://shop.sdp-si.com/catalog/product?id=A_6R51MC090,
none_live,motion.integrated-lead-screw-stepper-motors-300mm-2-4-8mm-pitch,"Integrated Lead Screw/Stepper Motors - 300mm, 2/4/8mm pitch",Motion,,2,0,2,0,,AliExpress | Printed Solid,voron-trident voron-1.8,current legacy,2,,https://www.aliexpress.com/item/32749869891.html | https://www.printedsolid.com/products/ldo-v1-z-linear-motor-kit-2-pack-ldo-42sth40-1684l300e-tr8x4,
none_live,motion.kfl08-pillow-bearing-8mm-id,KFL08 pillow bearing 8mm ID,Motion,,1,0,1,0,,AliExpress,voron-0,legacy,1,included in kit,https://www.aliexpress.com/item/32923177043.html,
none_live,motion.mr128-2rs-bearing,MR128-2RS Bearing,Motion,,2,0,2,0,,AliExpress,jetpack,legacy,1,,https://www.aliexpress.com/item/32955193981.html | https://www.aliexpress.com/item/32947017294.html,
none_live,tools.ferrule-crimping-tool,Ferrule Crimping Tool,Tools,,1,0,1,0,,Amazon,tools,current,1,,https://smile.amazon.com/dp/B06XCZC89W,
