coverage,id,name,category,standard,n_links,n_live,n_dead,n_unresolved,live_vendors,dead_vendors,projects,project_status,tabs,text_only_sources,dead_links,live_links
partial,bowden.bowden-tubing-4mmod-2mmid-1-meter,Bowden Tubing 4mmOD 2mmID (1 meter),Bowden,,3,2,1,0,AliExpress,AliExpress,voron-0.2 voron-0 voron-0.1,current legacy,3,,https://s.click.aliexpress.com/e/_dWCbUww,https://s.click.aliexpress.com/e/_dY9tW7w | https://s.click.aliexpress.com/e/_DlmJrQ7
partial,buildplate.high-temperature-magnet,High Temperature Magnet,Buildplate,,3,1,2,0,McMaster-Carr,AliExpress | schallenkammer.de,optional-parts,current,1,,https://www.aliexpress.com/item/33015063641.html | https://www.schallenkammer.de/magnetfolien/magnetfolie-200.html,https://www.mcmaster.com/7301T25/
partial,buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,,8,4,4,0,catalog.cshyde.com,muellerbestellung.de,voron-2.4 voron-trident voron-0.2 voron-0 voron-0.1 voron-1.8 voron-1.6.2 voron-2.2,current legacy,8,,https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-300-x-300-mm-Selbstklebend | https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-420-x-297-mm-5-Stk | https://www.muellerbestellung.de/Ultem-1000-Polyetherimid-3D-Druck-Folie-Abm-und-Farbe-waehlbar-254-x-165-x-03-mm-Selbstklebend-einseitig-Schwarz | https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-350-x-350-mm-Selbstklebend,https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-9-84-12-40 | https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-12x12 | https://catalog.cshyde.com/item/pei-sheet-3d-printing-build-surface/10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-4-7x4-7 | https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-14x14
partial,buildplate.silicone-ac-120v-240v-heater-100x100mm-100w,Silicone AC 120V/240V Heater 100x100mm 100W,Buildplate,,2,1,1,0,keenovo.store,AliExpress,voron-0,legacy,1,,https://www.aliexpress.com/item/4000924227913.html,https://keenovo.store/collections/standard-keenovo-silicone-heaters/products/keenovo-square-silicone-heater-3d-printer-build-plate-heatbed-heating-pad?variant=8324020666423
partial,buildplate.spring-steel-bed-kit-with-pei-and-magnet,Spring Steel Bed Kit with PEI and Magnet,Buildplate,,3,1,2,0,AliExpress,AliExpress,optional-parts,current,1,,https://www.aliexpress.com/item/32990786969.html | https://www.aliexpress.com/item/33057100422.html,https://www.aliexpress.com/item/4000138916012.html
partial,buildplate.yellow-die-springs-8x4x20mm,yellow die springs 8x4x20mm,Buildplate,,3,2,1,0,AliExpress | Amazon,AliExpress,voron-0.2 voron-0 voron-0.1 voron-1.8,current legacy,4,,https://www.aliexpress.com/item/4000009273908.html,https://s.click.aliexpress.com/e/_dUTJIFD | https://amzn.to/2KGsHzJ
partial,cables.10x11-cable-chain-openable-1m,10x11 Cable Chain - Openable (1m),Cables,,2,1,1,0,Amazon,AliExpress,voron-switchwire,current,1,,https://www.aliexpress.com/item/33000014666.html,https://www.amazon.com/dp/B07QLGWQ1L
partial,cables.10x11mm-1-meter-with-2-end-sets-2-fixed-end-2-free-end-r18-18mm-radius,"10x11mm - 1 meter with 2 end sets (2 fixed end, 2 free end), R18 (18mm radius)",Cables,,2,1,1,0,Amazon,AliExpress,voron-1.8,legacy,1,,https://www.aliexpress.com/item/33000014666.html,https://www.amazon.com/dp/B07QLGWQ1L
partial,cables.10x11mm-1-meter-with-3-end-sets-3-fixed-end-3-free-end-r18-18mm-radius,"10x11mm - 1 meter with 3 end sets (3 fixed end, 3 free end), R18 (18mm radius)",Cables,,2,1,1,0,Amazon,AliExpress,voron-trident,current,1,,https://www.aliexpress.com/item/33000014666.html,https://www.amazon.com/dp/B07QLGWQ1L
partial,cables.24awg-silicone-cable-120ft-total,24AWG Silicone Cable (120ft total),Cables,,3,2,1,0,AliExpress | Amazon,AliExpress,voron-2.2,legacy,1,,https://www.aliexpress.com/item/32953105957.html,https://www.aliexpress.com/item/32872395185.html | https://www.amazon.com/dp/B01LH1G2IE
partial,cables.24awg-silicone-cable-50ft-total,24AWG Silicone Cable (50ft total),Cables,,3,2,1,0,AliExpress | Amazon,AliExpress,voron-1.8,legacy,1,,https://www.aliexpress.com/item/32953105957.html,https://www.aliexpress.com/item/32872395185.html | https://www.amazon.com/dp/B01LH1G2IE
partial,cables.jst-connectors-2pin-3pin-4pin,"JST connectors (2pin,3pin,4pin)",Cables,,2,1,1,0,Amazon,AliExpress,voron-0,legacy,1,,https://s.click.aliexpress.com/e/_dXhqMto,https://amzn.to/2W3RSl6
partial,cables.jst-xh-female-pin,JST-XH Female Pin,Cables,,5,3,2,0,Amazon | Digi-Key,AliExpress,voron-2.4 voron-trident voron-switchwire voron-1.8,current legacy,4,Molex for Einsy,https://www.aliexpress.com/item/32963843207.html | https://s.click.aliexpress.com/e/_dZtuHpY,https://www.digikey.com/product-detail/en/amphenol-icc-fci/47649-000LF/609-3614-1-ND/2044035 | https://www.amazon.com/dp/B015Y6JOUG | https://www.amazon.com/dp/B01G0I0ZZK
partial,cables.nylon-cable-ties-4,"Nylon Cable Ties 4""",Cables,,2,1,1,0,Amazon,Amazon,voron-2.4 voron-trident voron-switchwire voron-1.8 voron-2.2,current legacy,5,,https://www.amazon.com/dp/B01M06HTVH,https://amzn.to/2mzoRjl
partial,cables.silicon-wire-24gauge-100ft-individual-strand-length-total-example-25ft-of-4p-wire-100ft,Silicon Wire 24gauge 100ft (individual strand length total [example: 25ft of 4p wire=100ft]),Cables,,2,1,1,0,AliExpress,AliExpress,voron-0,legacy,1,,https://s.click.aliexpress.com/e/_dUm7jDS,https://s.click.aliexpress.com/e/_dTGC7SE
partial,controller.2-pin-kk-connector-housing,2 Pin KK Connector Housing,Controller,,2,1,1,0,Digi-Key,AliExpress,optional-parts,current,1,,https://www.aliexpress.com/item/32699021641.html,https://www.digikey.com/products/en
partial,controller.duet-2-duex5,Duet 2 - Duex5,Controller,,2,1,1,0,Filastruder,AliExpress,optional-parts,current,1,,https://www.aliexpress.com/item/32888952843.html,https://www.filastruder.com/collections/electronics/products/duex2-and-duex-5-expansion-board
partial,controller.duet-2-pt100-daughter-board,Duet 2 - PT100 Daughter Board,Controller,,2,1,1,0,Filastruder,AliExpress,optional-parts,current,1,,https://www.aliexpress.com/item/32880076289.html,https://www.filastruder.com/collections/electronics/products/temperature-sensor-boards-for-duet
partial,controller.duet-2-wifi,Duet 2 Wifi,Controller,,2,1,1,0,Filastruder,AliExpress,optional-parts,current,1,,https://www.aliexpress.com/item/32880072214.html,https://www.filastruder.com/collections/electronics/products/duet-wifi
partial,controller.duet-maestro-expansion-board,Duet Maestro Expansion Board,Controller,,2,1,1,0,AliExpress,Filastruder,optional-parts,current,1,,https://www.filastruder.com/collections/electronics/products/duet-maestro-expansion-board,https://www.aliexpress.com/item/4000084426106.html
partial,controller.jst-xhp-2-housing,JST XHP-2 Housing,Controller,,2,1,1,0,Digi-Key,AliExpress,optional-parts,current,1,,https://www.aliexpress.com/item/32959016223.html,https://www.digikey.com/product-detail/en/jst-sales-america-inc/XHP-2/455-2266-ND/555485
partial,controller.raspberrypi4,RaspberryPi4,Controller,,3,1,2,0,Amazon,arrow.com,voron-2.4 voron-trident voron-switchwire voron-1.8,current legacy,4,,https://www.arrow.com/en/products/raspberrypi4-2gb/raspberry-pi-foundation | https://www.arrow.com/en/products/raspberrypi4/raspberry-pi-foundation,https://www.amazon.com/dp/B07TD42S27
partial,controller.reprap-full-graphics-display,RepRap Full Graphics Display,Controller,,2,1,1,0,Zyltech,AliExpress,voron-1.6.2 voron-2.2,legacy,2,,https://www.aliexpress.com/item/32851642822.html,https://www.zyltech.com/genuine-zyltech-ramps-1-4-3d-printer-12864-lcd-smart-controller
partial,controller.skr-1-4,SKR 1.4,Controller,,3,1,2,0,AliExpress,AliExpress | Amazon,voron-2.4 voron-1.8,current legacy,2,,https://www.aliexpress.com/item/4000474140713.html | https://smile.amazon.com/BIQU-Printer-Smoothieboard-Compatible-Ramps1-4/dp/B082HCFL34,https://www.aliexpress.com/item/4000470048293.html
partial,controller.tmc-2209-drivers,TMC 2209 Drivers,Controller,,4,3,1,0,AliExpress,Amazon,voron-2.4 voron-trident optional-parts voron-1.8,current legacy,4,,https://www.amazon.com/dp/B07W5S3KVF,https://www.aliexpress.com/item/33029587820.html | https://www.aliexpress.com/item/4000206288948.html | https://www.aliexpress.com/item/33047241001.html
partial,electronics.3010-blower-fans-24v,3010 blower fans 24V,Electronics,,4,3,1,0,AliExpress | Digi-Key,AliExpress,voron-0.2 voron-0 voron-0.1,current legacy,3,,https://s.click.aliexpress.com/e/_d9eOyxH,https://s.click.aliexpress.com/e/_d8S7D6y | https://s.click.aliexpress.com/e/_DlbccTf | https://www.digikey.com/en/products/detail/delta-electronics/BFB0305HHA-C/11563392
partial,electronics.4010-axial-fan,4010 Axial Fan,Electronics,,3,2,1,0,AliExpress,Amazon,stealthburner,current,1,,https://www.amazon.com/dp/B07WWJF4LG,https://www.aliexpress.com/item/32727867521.html | https://s.click.aliexpress.com/e/_d8MBoAW
partial,electronics.40x40x10-axial-fan-ball-bearing-24v,40x40x10 Axial Fan - Ball Bearing (24V),Electronics,,6,5,1,0,AliExpress | Amazon,Amazon,voron-2.4 voron-trident voron-switchwire afterburner voron-1.8,current legacy,5,X (it's 5V),https://www.amazon.com/dp/B07WWJF4LG,https://www.aliexpress.com/item/32868163248.html | https://www.aliexpress.com/item/32726640438.html | https://www.aliexpress.com/item/32727867521.html | https://www.amazon.com/dp/B07DB5H6K1 | https://s.click.aliexpress.com/e/_d8MBoAW
partial,electronics.60x60x20-axial-fan-24v,60x60x20 Axial Fan (24V),Electronics,,3,2,1,0,AliExpress | Digi-Key,Amazon,voron-2.4 voron-trident voron-switchwire voron-1.8,current legacy,4,Need a mosfet to drive,https://www.amazon.com/dp/B08577444D,https://www.digikey.com/product-detail/en/orion-fans/OD6020-24HB/1053-1234-ND/2621139 | https://www.aliexpress.com/item/32899594270.html
