id,category,name,scope,standard,aliases,n_projects,n_links,projects,qty:voron-2.4,qty:voron-trident,qty:voron-0.2,qty:voron-switchwire,qty:voron-cascade,qty:stealthburner,qty:optional-parts,qty:tools,qty:afterburner,qty:voron-m4,qty:mobius-3.1,qty:jetpack,qty:voron-0,qty:voron-0.1,qty:voron-1.8,qty:voron-1.6.2,qty:voron-2.2
bowden.bowden-clip,Bowden,Bowden Clip,,,Bowden Clips,2,1,voron-m4 mobius-3.1,,,,,,,,,,1,2,,,,,,
bowden.bowden-fitting,Bowden,Bowden Fitting,,,,6,2,voron-0.2 voron-m4 mobius-3.1 jetpack voron-0 voron-0.1,,,2,,,,,,,1,2,1,2,2,,,
bowden.bowden-tube-4mm-od-3mm-id,Bowden,Bowden Tube 4mm OD/3mm ID,,,,1,1,jetpack,,,,,,,,,,,,3m,,,,,
bowden.bowden-tubing-4mmod-2mmid-1-meter,Bowden,Bowden Tubing 4mmOD 2mmID (1 meter),,,,3,3,voron-0.2 voron-0 voron-0.1,,,1,,,,,,,,,,1,1,,,
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.voron-2.4,Buildplate,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),voron-2.4,,,1,1,voron-2.4,1@250; 1@300; 1@350,,,,,,,,,,,,,,,,
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.voron-trident,Buildplate,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),voron-trident,,,1,2,voron-trident,,"10x10""@250; 12x12""@300; 14x14""@350",,,,,,,,,,,,,,,
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.voron-1.8,Buildplate,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),voron-1.8,,,1,1,voron-1.8,,,,,,,,,,,,,,,"10x10""@250; 12x12""@300",,
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.voron-1.6.2,Buildplate,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),voron-1.6.2,,,1,1,voron-1.6.2,,,,,,,,,,,,,,,,1,
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.voron-2.2,Buildplate,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),voron-2.2,,,1,1,voron-2.2,,,,,,,,,,,,,,,,,1@250; 1@300; 1@350
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-120x120mm-4-75inx4-75in-1-4in-or-6mm-depending-on-whats-available-in-your-country.voron-0.2,Buildplate,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) 120x120mm (4.75inx4.75in) (1/4in or 6mm depending on whats available in your country),voron-0.2,,,1,1,voron-0.2,,,1,,,,,,,,,,,,,,
