item_id,item_name,category,roles,vendor,label,url,affiliate,affiliate_urls,projects
bowden.bowden-clip,Bowden Clip,Bowden,recommended,AliExpress,TriangleLab,https://www.aliexpress.com/item/32892392365.html,,https://s.click.aliexpress.com/e/Njq3xkWG,voron-m4 mobius-3.1
bowden.bowden-fitting,Bowden Fitting,Bowden,recommended/budget,AliExpress,TriangleLab,https://s.click.aliexpress.com/e/_dZNWAU4,yes,,voron-0.2 voron-0 voron-0.1
bowden.bowden-fitting,Bowden Fitting,Bowden,recommended,AliExpress,TriangleLab | TriangleLab (Aliexpress),https://www.aliexpress.com/item/32934148155.html,,https://s.click.aliexpress.com/e/klIuTlpI,voron-m4 mobius-3.1 jetpack
bowden.bowden-tube-4mm-od-3mm-id,Bowden Tube 4mm OD/3mm ID,Bowden,recommended,AliExpress,Aliexpress,https://www.aliexpress.com/item/32433845259.html,,,jetpack
bowden.bowden-tubing-4mmod-2mmid-1-meter,Bowden Tubing 4mmOD 2mmID (1 meter),Bowden,recommended,AliExpress,Aliexpress,https://s.click.aliexpress.com/e/_dY9tW7w,yes,,voron-0.2 voron-0 voron-0.1
bowden.bowden-tubing-4mmod-2mmid-1-meter,Bowden Tubing 4mmOD 2mmID (1 meter),Bowden,alternative,AliExpress,Aliexpress (4mmx3mm),https://s.click.aliexpress.com/e/_DlmJrQ7,yes,,voron-0.2
bowden.bowden-tubing-4mmod-2mmid-1-meter,Bowden Tubing 4mmOD 2mmID (1 meter),Bowden,budget,AliExpress,Aliexpress,https://s.click.aliexpress.com/e/_dWCbUww,yes,,voron-0
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),Buildplate,recommended,mandalaroseworks.com,Mandala Rose Works,https://www.mandalaroseworks.com/shop/voron,,,voron-trident
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),Buildplate,alternative,clever3d.de,Clever3D.de,https://clever3d.de/epages/7a4290fc-7c7f-46cc-9b99-eadef22228e2.sf/en_US?ObjectPath=%2FShops%2F7a4290fc-7c7f-46cc-9b99-eadef22228e2%2FProducts%2FAluGuss8mm,,,voron-2.4 voron-trident voron-1.8 voron-1.6.2 voron-2.2
buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-120x120mm-4-75inx4-75in-1-4in-or-6mm-depending-on-whats-available-in-your-country,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) 120x120mm (4.75inx4.75in) (1/4in or 6mm depending on whats available in your country),Buildplate,alternative/non_affiliate,clever3d.de,Clever3D.de,https://clever3d.de/epages/7a4290fc-7c7f-46cc-9b99-eadef22228e2.sf/en_US?ObjectPath=%2FShops%2F7a4290fc-7c7f-46cc-9b99-eadef22228e2%2FProducts%2FAluGuss8mm,,,voron-0.2 voron-0 voron-0.1
buildplate.high-temperature-magnet,High Temperature Magnet,Buildplate,recommended,McMaster-Carr,McMaster-Carr,https://www.mcmaster.com/7301T25/,,,optional-parts
buildplate.high-temperature-magnet,High Temperature Magnet,Buildplate,alternative,AliExpress,TriangleLab,https://www.aliexpress.com/item/33015063641.html,,https://s.click.aliexpress.com/e/d0f9GzOY,optional-parts
buildplate.high-temperature-magnet,High Temperature Magnet,Buildplate,alternative,schallenkammer.de,Schallenkammer,https://www.schallenkammer.de/magnetfolien/magnetfolie-200.html,,,optional-parts
buildplate.magnetic-sheet-pei-optional,Magnetic Sheet + PEI (optional),Buildplate,recommended,AliExpress,Aliexpress,https://www.aliexpress.com/item/2251832800625551.html,,https://s.click.aliexpress.com/e/_DFv4IPv,voron-2.4
buildplate.magnetic-sheet-for-spring-steel-plate-120x120-optional,Magnetic sheet for spring steel plate 120x120 (OPTIONAL),Buildplate,recommended,McMaster-Carr,Mcmaster Carr,https://www.mcmaster.com/7301T21/,,,voron-0.2 voron-0.1
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,recommended,catalog.cshyde.com,CSHyde (Trim),https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-9-84-12-40,,,voron-2.4 voron-trident voron-1.8 voron-1.6.2 voron-2.2
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,recommended,catalog.cshyde.com,CSHyde,https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-12x12,,,voron-2.4 voron-trident voron-1.8 voron-2.2
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,recommended,catalog.cshyde.com,CS Hyde,https://catalog.cshyde.com/item/pei-sheet-3d-printing-build-surface/10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-4-7x4-7,,,voron-0.2 voron-0 voron-0.1
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,recommended,catalog.cshyde.com,CSHyde,https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-14x14,,,voron-2.4 voron-2.2
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,alternative,muellerbestellung.de,"Mueller (Trim, includes adhesive) | Mueller (includes adhesive)",https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-300-x-300-mm-Selbstklebend,,,voron-2.4 voron-trident voron-1.8 voron-1.6.2 voron-2.2
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,alternative,muellerbestellung.de,Mueller 5pack (Trim),https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-420-x-297-mm-5-Stk,,,voron-trident voron-1.8 voron-1.6.2 voron-2.2
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,alternative/non_affiliate,muellerbestellung.de,Muller Ultem 1000,https://www.muellerbestellung.de/Ultem-1000-Polyetherimid-3D-Druck-Folie-Abm-und-Farbe-waehlbar-254-x-165-x-03-mm-Selbstklebend-einseitig-Schwarz,,,voron-0.2 voron-0 voron-0.1
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,alternative,muellerbestellung.de,Mueller (includes adhesive),https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-350-x-350-mm-Selbstklebend,,,voron-2.4 voron-2.2
