item_id,item_name,category,role,n_variants,variant,projects,project_statuses,vendors,urls
bowden.bowden-fitting,Bowden Fitting,Bowden,recommended,2,1,voron-0 voron-0.1 voron-0.2,current legacy,AliExpress,https://s.click.aliexpress.com/e/_dZNWAU4
bowden.bowden-fitting,Bowden Fitting,Bowden,recommended,2,2,jetpack mobius-3.1 voron-m4,legacy,AliExpress,https://www.aliexpress.com/item/32934148155.html
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,recommended,4,1,voron-0 voron-0.1 voron-0.2,current legacy,catalog.cshyde.com,https://catalog.cshyde.com/item/pei-sheet-3d-printing-build-surface/10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-4-7x4-7
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,recommended,4,2,voron-2.2 voron-2.4,current legacy,catalog.cshyde.com,https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-12x12 | https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-14x14 | https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-9-84-12-40
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,recommended,4,3,voron-1.8 voron-trident,current legacy,catalog.cshyde.com,https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-12x12 | https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-9-84-12-40
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,recommended,4,4,voron-1.6.2,legacy,catalog.cshyde.com,https://catalog.cshyde.com/item/pei-ultem/int-surface-10-mil-ultem-pei-w-3m-acrylic-adhesive/36-10a-3d-9-84-12-40
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,alternative,4,1,voron-1.6.2 voron-1.8 voron-trident,current legacy,muellerbestellung.de,https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-300-x-300-mm-Selbstklebend | https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-420-x-297-mm-5-Stk
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,alternative,4,2,voron-0 voron-0.1 voron-0.2,current legacy,muellerbestellung.de,https://www.muellerbestellung.de/Ultem-1000-Polyetherimid-3D-Druck-Folie-Abm-und-Farbe-waehlbar-254-x-165-x-03-mm-Selbstklebend-einseitig-Schwarz
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,alternative,4,3,voron-2.4,current,muellerbestellung.de,https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-300-x-300-mm-Selbstklebend | https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-350-x-350-mm-Selbstklebend
buildplate.pei-3m-468p-200mp,PEI + 3M 468P (200MP),Buildplate,alternative,4,4,voron-2.2,legacy,muellerbestellung.de,https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-300-x-300-mm-Selbstklebend | https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-350-x-350-mm-Selbstklebend | https://www.muellerbestellung.de/Ultem-1000-Schwarz-030-mm-dick-420-x-297-mm-5-Stk
buildplate.yellow-die-springs-8x4x20mm,yellow die springs 8x4x20mm,Buildplate,recommended,2,1,voron-0 voron-0.1 voron-0.2,current legacy,AliExpress,https://s.click.aliexpress.com/e/_dUTJIFD
buildplate.yellow-die-springs-8x4x20mm,yellow die springs 8x4x20mm,Buildplate,recommended,2,2,voron-1.8,legacy,AliExpress,https://www.aliexpress.com/item/4000009273908.html
buildplate.yellow-die-springs-8x4x20mm,yellow die springs 8x4x20mm,Buildplate,alternative,2,1,voron-0 voron-0.1 voron-0.2,current legacy,Amazon,https://amzn.to/2KGsHzJ
buildplate.yellow-die-springs-8x4x20mm,yellow die springs 8x4x20mm,Buildplate,alternative,2,2,voron-1.8,legacy,AliExpress | Amazon,https://amzn.to/2KGsHzJ | https://www.aliexpress.com/item/4000009273908.html
cables.insulated-crimp-receptical,Insulated Crimp Receptical,Cables,recommended,2,1,voron-1.8 voron-2.2 voron-2.4 voron-trident,current legacy,Digi-Key,https://www.digikey.com/products/en
cables.insulated-crimp-receptical,Insulated Crimp Receptical,Cables,recommended,2,2,voron-0 voron-0.1 voron-0.2,current legacy,Digi-Key,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/2-520181-2/A27804TR-ND/289246
cables.jst-xh-female-pin,JST-XH Female Pin,Cables,recommended,2,1,voron-2.4 voron-trident,current,AliExpress,https://www.aliexpress.com/item/32963843207.html
cables.jst-xh-female-pin,JST-XH Female Pin,Cables,recommended,2,2,voron-1.8,legacy,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-icc-fci/47649-000LF/609-3614-1-ND/2044035
cables.jst-xh-female-pin,JST-XH Female Pin,Cables,alternative,3,1,voron-2.4 voron-trident,current,Amazon,https://www.amazon.com/dp/B015Y6JOUG
cables.jst-xh-female-pin,JST-XH Female Pin,Cables,alternative,3,2,voron-switchwire,current,AliExpress | Amazon,https://s.click.aliexpress.com/e/_dZtuHpY | https://www.amazon.com/dp/B015Y6JOUG
cables.jst-xh-female-pin,JST-XH Female Pin,Cables,alternative,3,3,voron-1.8,legacy,Amazon,https://www.amazon.com/dp/B01G0I0ZZK
controller.microsd-card,MicroSD Card,Controller,recommended,2,1,voron-1.6.2 voron-2.2 voron-2.4,current legacy,Amazon,https://www.amazon.com/dp/B073JYVKNX
controller.microsd-card,MicroSD Card,Controller,recommended,2,2,voron-1.8 voron-trident,current legacy,Amazon,https://www.amazon.com/dp/B0749KG1JK
controller.skr-1-4,SKR 1.4,Controller,recommended,2,1,voron-2.4,current,AliExpress,https://www.aliexpress.com/item/4000470048293.html
controller.skr-1-4,SKR 1.4,Controller,recommended,2,2,voron-1.8,legacy,AliExpress,https://www.aliexpress.com/item/4000474140713.html
controller.skr-1-4,SKR 1.4,Controller,alternative,2,1,voron-1.8,legacy,AliExpress,https://www.aliexpress.com/item/4000474140713.html
controller.skr-1-4,SKR 1.4,Controller,alternative,2,2,voron-2.4,current,Amazon,https://smile.amazon.com/BIQU-Printer-Smoothieboard-Compatible-Ramps1-4/dp/B082HCFL34
electronics.3010-axial-fan-24v,3010 axial fan 24v,Electronics,alternative,2,1,voron-0,legacy,AliExpress,https://s.click.aliexpress.com/e/_d7Kb0ms
electronics.3010-axial-fan-24v,3010 axial fan 24v,Electronics,alternative,2,2,voron-0.2,current,Digi-Key,https://www.digikey.com/en/products/detail/mechatronics-fan-group/MR3010H05B1-RSR/7605851
electronics.3010-blower-fans-24v,3010 blower fans 24V,Electronics,recommended,2,1,voron-0 voron-0.1,legacy,AliExpress,https://s.click.aliexpress.com/e/_d8S7D6y
electronics.3010-blower-fans-24v,3010 blower fans 24V,Electronics,recommended,2,2,voron-0.2,current,AliExpress,https://s.click.aliexpress.com/e/_DlbccTf
electronics.3010-blower-fans-24v,3010 blower fans 24V,Electronics,alternative,2,1,voron-0 voron-0.1,legacy,AliExpress,https://s.click.aliexpress.com/e/_d8S7D6y
