verdict,item_id,item_name,product_link,product_link_status,dead_affiliate_links,live_affiliate_links,projects
"affiliate dead, product link fine",extruder.bmg-extruder-kit-used-for-gears,BMG Extruder Kit (used for gears),https://www.aliexpress.com/item/2255799834871688.html,yes,https://s.click.aliexpress.com/e/_Asx8EC,,voron-trident
"affiliate dead, product link fine",misc.bowden-tube,Bowden Tube,https://www.aliexpress.com/item/1005001408141263.html,yes,https://s.click.aliexpress.com/e/5OVtqbtq,https://s.click.aliexpress.com/e/_AZwI9m,voron-trident voron-1.8
"affiliate dead, product link fine",misc.bowden-tube-4mm-od-id-depends-on-extruder-type,"Bowden Tube (4mm OD, ID depends on extruder type)",https://www.aliexpress.com/item/1005001408141263.html,yes,https://s.click.aliexpress.com/e/5OVtqbtq,,voron-2.4
"affiliate dead, product link fine",hotend.v6-and-or-mosquito-copper-nozzle,V6 and/or Mosquito Copper Nozzle,https://www.aliexpress.com/item/33044552706.html,yes,https://s.click.aliexpress.com/e/Oe8WqhF2,,optional-parts
only link is a dead affiliate code,motion.110-gt2-belt-loop,110 gt2 belt loop,https://s.click.aliexpress.com/e/_dUvssaY,no,https://s.click.aliexpress.com/e/_dUvssaY,,voron-0
only link is a dead affiliate code,electronics.3010-blower-fans-24v,3010 blower fans 24V,https://s.click.aliexpress.com/e/_d9eOyxH,no,https://s.click.aliexpress.com/e/_d9eOyxH,,voron-0
only link is a dead affiliate code,misc.3m-5952-vhb,3m 5952 VHB,https://s.click.aliexpress.com/e/_A5re2G,no,https://s.click.aliexpress.com/e/_A5re2G,,voron-0.2 voron-0.1
only link is a dead affiliate code,electronics.3m-5952-vhb-tape-20mm-or-so-is-good,3M 5952 VHB tape (20mm or so is good),https://s.click.aliexpress.com/e/_DknVHRP,no,https://s.click.aliexpress.com/e/_DknVHRP,,voron-0.2
only link is a dead affiliate code,misc.6mm-x-3mm-round-neodymium-magnets,6mm x 3mm Round Neodymium Magnets,https://s.click.aliexpress.com/e/_A7td4j,no,https://s.click.aliexpress.com/e/_A7td4j,,voron-0.2 voron-0.1
only link is a dead affiliate code,misc.6mm-x-3mm-round-neodymium-magnets,6mm x 3mm Round Neodymium Magnets,https://s.click.aliexpress.com/e/_AWamq8,no,https://s.click.aliexpress.com/e/_AWamq8,,voron-switchwire
