name_similarity,shared_links,id_a,name_a,projects_a,id_b,name_b,projects_b,urls
0.98,1,motion.gt2-open-belt-ll-2gt-6-9mm-wide-length-dependant-on-config,GT2 Open Belt LL-2GT-6 (9mm wide) - Length Dependant on Config,voron-2.2,motion.gt2-open-belt-ll-2gt-9-9mm-wide-length-dependant-on-config,GT2 Open Belt LL-2GT-9 (9mm wide) - Length Dependant on Config,voron-2.4,https://shop.sdp-si.com/catalog/product?id=A_6R51MC090
0.97,1,motion.gt2-20t-6mm-wide-toothed-idler-5mm-bore,GT2 20T (6mm wide) Toothed Idler (5mm bore),voron-2.4 voron-trident voron-1.8,motion.gt2-20t-9mm-wide-toothed-idler-5mm-bore,GT2 20T (9mm wide) Toothed Idler (5mm bore),voron-2.4,https://www.filastruder.com/products/gates-2gt-idler
0.97,1,fasteners.m2x10-self-tapping-screw-for-plastics,M2x10 Self Tapping Screw for Plastics,voron-2.4 voron-trident voron-0.2 voron-switchwire stealthburner voron-0 voron-0.1,fasteners.m2x12-self-tapping-screw-for-plastics,M2x12 Self Tapping Screw for Plastics,voron-1.8 voron-2.2,https://www.aliexpress.com/item/32748428213.html
0.97,1,misc.foam-panel-tape-5mm-wide-1mm-thick,Foam Panel Tape (5mm Wide/1mm Thick),optional-parts,misc.foam-panel-tape-5mm-wide-3mm-thick,Foam Panel Tape (5mm wide/3mm thick),voron-2.4 voron-trident,https://www.aliexpress.com/item/32885016096.html
0.97,1,cables.20awg-silicone-cable-25ft-total,20AWG Silicone Cable (25ft total),voron-1.8,cables.20awg-silicone-cable-50ft-total,20AWG Silicone Cable (50ft total),voron-2.2,https://www.aliexpress.com/item/32955538744.html
0.97,1,motion.linear-rail-mgn12h-see-configurator-for-length,Linear Rail MGN12H ** See Configurator for length **,voron-2.4,motion.linear-rail-mgn9h-see-configurator-for-length,Linear Rail MGN9H ** See Configurator for length **,voron-2.4 voron-1.8 voron-2.2,"https://www.robotdigg.com/product/1314/Black-anodized-linear-rail-7,-9,-12-and-15"
0.96,2,electronics.e3d-v6-bowden-hotend-kit-24v,E3D V6 Bowden Hotend Kit (24V),voron-trident voron-1.8,hotend.e3d-v6-bowden-hotend-kit-12v,E3D V6 Bowden Hotend Kit (12V),voron-1.6.2 voron-2.2,https://www.aliexpress.com/item/32844028127.html | https://www.filastruder.com/products/all-metal-e3d-v6-hotend
0.96,1,motion.gt2-open-belt-6mm-2-meters,GT2 Open Belt 6mm (2 meters),voron-0,motion.gt2-open-belt-6mm-3-meters,GT2 Open Belt 6mm (3 meters),voron-0.1,https://s.click.aliexpress.com/e/_dZ6ZPZ2
0.96,1,bowden.bowden-tube-4mm-od-3mm-id,Bowden Tube 4mm OD/3mm ID,jetpack,misc.bowden-tube-4mm-od-2mm-id,"Bowden Tube (4mm OD, 2mm ID)",voron-switchwire jetpack,https://www.aliexpress.com/item/32433845259.html
0.96,2,cables.10x11mm-1-meter-with-2-end-sets-2-fixed-end-2-free-end-r18-18mm-radius,"10x11mm - 1 meter with 2 end sets (2 fixed end, 2 free end), R18 (18mm radius)",voron-1.8,cables.10x11mm-1-meter-with-3-end-sets-3-fixed-end-3-free-end-r18-18mm-radius,"10x11mm - 1 meter with 3 end sets (3 fixed end, 3 free end), R18 (18mm radius)",voron-trident,https://www.aliexpress.com/item/33000014666.html | https://www.amazon.com/dp/B07QLGWQ1L
