item_id,item_name,category,project,project_status,text_only_sources
buildplate.spring-steel-sheet-for-prusa-mk52-bed-included-with-tl-heated-bed,Spring Steel Sheet for Prusa MK52 Bed (included with TL Heated Bed),Buildplate,voron-switchwire,current,X
cables.24awg-ptfe-cable-30ft-total,24AWG PTFE Cable (30ft total),Cables,stealthburner,current,
cables.30awg-ptfe-cable-3ft-total,30AWG PTFE Cable (3ft total),Cables,stealthburner,current,
cables.dupont-2-pin-connector,Dupont 2 Pin Connector,Cables,voron-trident,current,
cables.dupont-2-pin-connector,Dupont 2 Pin Connector,Cables,voron-1.8,legacy,
cables.dupont-female-pin,Dupont Female Pin,Cables,voron-trident,current,
cables.dupont-female-pin,Dupont Female Pin,Cables,voron-1.8,legacy,
cables.fork-spade-terminal,Fork Spade Terminal,Cables,voron-switchwire,current,
cables.igus-e2-100-10-12pz-chain-ends,IGUS E2-100-10-12PZ Chain Ends,Cables,voron-2.4,current,
cables.igus-e2-15-10-028-0-chain,IGUS E2-15-10-028-0 Chain,Cables,voron-2.4,current,
cables.igus-e2-150-10-12pz-chain-ends,IGUS E2-150-10-12PZ Chain Ends,Cables,voron-2.4,current,
cables.igus-e2i-10-10-018-0-chain,IGUS E2i-10-10-018-0 Chain,Cables,voron-2.4,current,
cables.insulated-crimp-receptical,Insulated Crimp Receptical,Cables,voron-switchwire,current,
cables.jst-xh-connector-plug-2-position,JST-XH Connector Plug 2 Position,Cables,voron-2.4,current,
cables.jst-xh-connector-plug-2-position,JST-XH Connector Plug 2 Position,Cables,voron-trident,current,
cables.jst-xh-connector-plug-2-position,JST-XH Connector Plug 2 Position,Cables,voron-switchwire,current,Molex for Einsy
cables.jst-xh-connector-plug-3-position,JST-XH Connector Plug 3 Position,Cables,voron-2.4,current,
cables.jst-xh-connector-plug-3-position,JST-XH Connector Plug 3 Position,Cables,voron-trident,current,
cables.jst-xh-connector-plug-3-position,JST-XH Connector Plug 3 Position,Cables,voron-switchwire,current,Molex for Einsy
cables.jst-xh-connector-plug-4-position,JST-XH Connector Plug 4 Position,Cables,voron-2.4,current,
cables.jst-xh-connector-plug-4-position,JST-XH Connector Plug 4 Position,Cables,voron-trident,current,
cables.jst-xh-connector-plug-4-position,JST-XH Connector Plug 4 Position,Cables,voron-switchwire,current,Molex for Einsy
cables.microfit-connector-plug-2-position-43640-0201,MicroFit Connector Plug 2 Position (43640-0201),Cables,voron-switchwire,current,
cables.microfit-connector-plug-3-position-43640-0301,MicroFit Connector Plug 3 Position (43640-0301),Cables,voron-switchwire,current,
cables.microfit-connector-plug-4-position-43640-0401,MicroFit Connector Plug 4 Position (43640-0401),Cables,voron-switchwire,current,
cables.microfit-connector-receptacle-2-position-43645-0200,MicroFit Connector Receptacle 2 Position (43645-0200),Cables,voron-switchwire,current,
cables.microfit-connector-receptacle-3-position-43645-0300,MicroFit Connector Receptacle 3 Position (43645-0300),Cables,voron-switchwire,current,
cables.microfit-connector-receptacle-4-position-43645-0400,MicroFit Connector Receptacle 4 Position (43645-0400),Cables,voron-switchwire,current,
cables.microfit3-female-pin-43030-0007,MicroFit3 Female Pin (43030-0007),Cables,voron-switchwire,current,
