name,tabs,variants_full,variants_link,variants_name,names_as_written,projects
M3 Threaded Insert,10,10,8,8,M3 Brass Heat Set Inserts - Short | M3 Brass Heatset Inserts - Short M3x5x4 | M3 Brass Heatstake Inserts | M3 Brass Heatstake Inserts - Short (M3x5x4) | M3 Brass heatstake inserts - short M3x5x4 | M3 Heat Set Inserts (M3x5x4) | M3 Threaded Insert | M3 Threaded Insert (M3x5mmx4mm),afterburner stealthburner voron-0 voron-0.1 voron-0.2 voron-1.8 voron-2.4 voron-m4 voron-switchwire voron-trident
GT2 20T (6mm wide) (5mm bore),10,7,6,3,"GT2 20T (6mm wide) (5mm bore) | GT2 20T (6mm wide) Pulley (5mm bore) | GT2 20T Pulley (6mm wide, 5mm bore)",mobius-3.1 voron-0 voron-0.1 voron-0.2 voron-1.8 voron-2.2 voron-2.4 voron-m4 voron-switchwire voron-trident
M3x6 BHCS,12,6,6,1,M3x6 BHCS,afterburner mobius-3.1 stealthburner voron-0 voron-0.1 voron-0.2 voron-1.8 voron-2.2 voron-2.4 voron-m4 voron-switchwire voron-trident
PEI + 3M 468P (200MP),8,6,6,1,PEI + 3M 468P (200MP),voron-0 voron-0.1 voron-0.2 voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-trident
M2x10 self tapping screw,7,6,6,4,M2x10 Self Tapping Screw for Plastics | M2x10 Self Tapping Screws for Plastic | M2x10 Self Tapping Screws for Plastic (Pan Head) | M2x10 self tapping screw,stealthburner voron-0 voron-0.1 voron-0.2 voron-2.4 voron-switchwire voron-trident
Printed Parts,11,5,5,1,Printed Parts,mobius-3.1 voron-0 voron-0.1 voron-0.2 voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-m4 voron-switchwire voron-trident
M3 Nut,10,5,5,2,M3 Hexnut | M3 Nut,afterburner jetpack mobius-3.1 voron-0 voron-0.1 voron-0.2 voron-1.8 voron-2.2 voron-2.4 voron-switchwire
Omron Mouse Button - Micro Switch,9,5,5,1,Omron Mouse Button - Micro Switch,voron-0 voron-0.1 voron-0.2 voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
M3x8 SHCS,9,4,4,1,M3x8 SHCS,afterburner jetpack mobius-3.1 stealthburner voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
MicroSD Card,9,4,4,1,MicroSD Card,voron-0 voron-0.1 voron-0.2 voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
Insulated Crimp Receptical,8,4,4,1,Insulated Crimp Receptical,voron-0 voron-0.1 voron-0.2 voron-1.8 voron-2.2 voron-2.4 voron-switchwire voron-trident
Secondary Color,8,4,4,2,Secondary Color | Secondary Color (Red),mobius-3.1 voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-m4 voron-switchwire voron-trident
6mm x 3mm Round Neodymium Magnets,6,4,4,1,6mm x 3mm Round Neodymium Magnets,voron-0 voron-0.1 voron-0.2 voron-2.4 voron-switchwire voron-trident
40x40x10 Axial Fan,5,4,4,3,40x40x10 Axial Fan | 40x40x10 Axial Fan (24V) | 40x40x10 Axial Fan- Ball Bearing (24V),afterburner voron-1.8 voron-2.4 voron-switchwire voron-trident
M3 Locknut,5,4,3,3,M3 Hex Locknut | M3 Lock Nut | M3 Locknut,jetpack mobius-3.1 voron-0.1 voron-2.2 voron-trident
NEMA17 Motor 17HS19-2004S,5,4,4,1,NEMA17 Motor 17HS19-2004S,mobius-3.1 voron-1.6.2 voron-1.8 voron-2.2 voron-2.4
40x40x20 Radial Fan (Blower),4,4,4,3,40x40x20 Centrifugal Blower Fan (24V) | 40x40x20 Centrifugal Blower Fan - Ball Bearing (24V) | 40x40x20 Radial Fan (Blower),afterburner voron-1.8 voron-2.4 voron-switchwire
M3x6 FHCS,4,4,4,1,M3x6 FHCS,stealthburner voron-2.4 voron-switchwire voron-trident
NEMA17 Motor 17HS08-1004S,4,4,4,1,NEMA17 Motor 17HS08-1004S,afterburner jetpack voron-1.8 voron-trident
M3x12 SHCS,10,3,3,1,M3x12 SHCS,afterburner jetpack mobius-3.1 stealthburner voron-1.8 voron-2.2 voron-2.4 voron-m4 voron-switchwire voron-trident
